communityName,areaName,roomType,louCeng,area,jianZhu,chaoXiang,zhuangXiu,tiHu,guapaitime,jiaoyitime,nianxian,totalPrice,location
保利叶语(一期)(公寓),宝山,2室2厅1厨1卫,中楼层 (共21层),86.76㎡,板楼,南,精装,两梯三户,2019-12-19,2013-06-02,满五年,465万元,顾村
金杨新村四街坊,浦东,2室1厅1厨1卫,中楼层 (共6层),70.51㎡,板楼,南,简装,一梯四户,2019-09-01,2013-09-30,满五年,425万元,金杨
康沈路1646弄,浦东,4室1厅1厨2卫,低楼层 (共5层),48.83㎡,板楼,南 北,简装,一梯两户,2019-12-25,1994-10-01,满五年,162万元,周浦
新家坡园景苑,黄浦,2室2厅1厨1卫,中楼层 (共31层),94.9㎡,塔楼,西南,精装,三梯六户,2019-07-28,2001-08-17,满五年,765万元,五里桥
惠康苑西苑,浦东,3室1厅1厨1卫,高楼层 (共14层),100.34㎡,板楼,南,精装,两梯四户,2019-12-14,2016-05-20,满两年,271万元,惠南
东方知音苑,浦东,3室2厅1厨2卫,中楼层 (共11层),121.34㎡,板楼,南,精装,一梯两户,2019-08-17,2003-04-06,满五年,998万元,金杨
春申景城MIDTOWN,闵行,2室2厅1厨1卫,中楼层 (共14层),108.7㎡,板楼,南,精装,一梯两户,2018-12-07,2013-12-20,满五年,735万元,春申
上海绿城,浦东,3室2厅1厨2卫,低楼层 (共25层),127.49㎡,塔楼,南,精装,两梯三户,2019-06-11,2010-12-28,满五年,1120万元,杨东
虹桥明珠公寓,闵行,3室2厅1厨2卫,低楼层 (共18层),127.56㎡,塔楼,南,简装,两梯六户,2020-01-02,2004-11-23,满五年,670万元,金虹桥
延铁小区,静安,2室1厅1厨1卫,中楼层 (共6层),51.25㎡,板楼,南,精装,一梯五户,2020-01-01,2007-01-18,满五年,383万元,大宁
徐汇新城(公寓),徐汇,3室2厅1厨2卫,中楼层 (共7层),121.75㎡,板楼,南 北,简装,一梯两户,2019-12-29,2004-05-24,满五年,810万元,长桥
华润中央公园(浩翔路505弄),嘉定,4室2厅1厨2卫,中楼层 (共21层),148.17㎡,板楼,南 北,精装,两梯四户,2019-12-26,2015-06-30,满两年,798万元,南翔
杉林新月环林东路875弄,浦东,2室2厅1厨1卫,中楼层 (共18层),83.37㎡,板楼,南,简装,两梯三户,2019-04-23,2006-09-03,满五年,457万元,三林
